question,answer,source,alternative_questions
В каких пространствах Викиучебника можно размещать несвободные материалы?,Несвободные материалы могут использоваться только в пространстве имён «Статьи» (основное пространство). Они не могут использоваться в любых шаблонах или на страницах участников. Допускается установка ссылок (не включение!) на несвободные медиа-файлы со страниц обсуждений.,Критерии добросовестного использования,Где разрешено использовать несвободные файлы?;Можно ли разместить несвободное изображение на своей странице участника?
Можно ли использовать несвободное изображение просто для украшения статьи?,"Материал должен отвечать критерию значимости для соответствующей статьи — идентифицировать её основной объект, или специфично иллюстрировать важные её пункты или разделы, и не должен применяться в декоративных целях. Использование несвободных материалов в списках, галереях изображений, элементах интерфейса расценивается как декоративное.",Критерии добросовестного использования,Можно ли использовать несвободную картинку для оформления статьи?;Допустимо ли декоративное использование несвободных изображений?
"Нужно ли обоснование для каждой статьи, где используется несвободный файл?","Для каждой страницы, использующей несвободный медиа-файл, на странице описания файла должно присутствовать обоснование, подтверждающее заявленный критерий добресовестности. Такое обоснование должно иметь очевидную форму, указывать на статью, в которой используется файл, и объяснять, почему не могут быть найдены/созданы свободные альтернативы.",Критерии добросовестного использования,Требуется ли обоснование использования несвободного файла?;Нужно ли объяснять почему используется несвободное изображение?
Что такое критерии быстрого удаления в Викиучебнике?,"В некоторых случаях администраторы могут удалять страницы Викиучебника без предварительного уведомления, даже если эти страницы были вынесены на обсуждение. Ниже перечислены все такие случаи. Список является исчерпывающим и расширительному толкованию не подлежит.",Критерии быстрого удаления,Что значит быстрого удаления?;Какие страницы удаляются сразу без обсуждения?
Как запросить удаление страницы?,"Участники, не являющиеся администраторами, могут запросить удаление страниц, поставив в их начале шаблон: {{К быстрому удалению|причина}} или {{delete|причина}}, или {{d|причина}}, или один из специализированных шаблонов.",Критерии быстрого удаления,Как предложить страницу к удалению?;Какие шаблоны используются для запроса удаления?
В каких случаях администраторы могут удалять страницы без предварительного уведомления?,"Администраторы могут удалять страницы без уведомления только в случаях, перечисленных в Критериях быстрого удаления. Этот список является исчерпывающим и не подлежит расширительному толкованию.",Критерии быстрого удаления,Когда админ может удалить страницу без предупреждения?;В каких ситуациях удаляют без обсуждения?
"Какая страница считается ""бессвязным содержимым""?","Это страница, явно не имеющая смысла или состоящая из случайных символов. Не считается бессвязным: плохая орфография, религиозные тексты, несформулированный материал или плохой перевод.",Критерии быстрого удаления,Что такое бессвязный текст?;Как понять что страница бессвязная?
"Можно ли удалить страницу, если этого хочет её единственный автор?","Да, если удаление запросил единственный автор и причины либо очевидны, либо явно указаны.",Критерии быстрого удаления,"Если я один написал страницу, могу ли её удалить?;Автор хочет удалить свою страницу — можно ли?"
Какая страница считается рекламой или спамом?,"Страница, целиком состоящая из рекламы или продвигающая товары, услуги, организации, требующая полного переписывания для устранения этой проблемы.",Критерии быстрого удаления,Что считается рекламой в Викиучебнике?;Как определить спам-страницу?
Когда удаляются файлы с неясным лицензионным статусом?,"Через 7 суток после установки шаблона, если нет данных о лицензии, источнике, авторстве или если лицензия под сомнением.",Критерии быстрого удаления,Через сколько удаляют файл без указания лицензии?;Что происходит с файлами без информации об авторстве?
Почему удалили страницу?,"Общие критерии быстрого удаления
О1. Бессвязное содержимое
О2. Тестовая страница
О3. Страница для вандализма
О4. Точная копия ранее удалённой страницы
О5. Удаление запросил единственный автор
О6. Обсуждение удалённой страницы
О7. Для возможности переименования
О8. Копия существующей страницы
О9. Реклама, спам
О10. Нецелевое использование страницы обсуждения
О11. Явное нарушение авторских прав",Критерии быстрого удаления,По каким причинам могут быстро удалить страницу?;Какие основные критерии быстрого удаления?
Почему удалили учебник?,"Критерии удаления для страниц учебника
Уч1. Пустой или очень короткий учебник без «учебного» содержания
Уч2. Учебник не на русском языке
Уч3. Учебник состоит только из ссылок
Уч4. Страница является статьей из других проектов
Уч5. Учебник без доказательств значимости
Уч7. Копия существующего учебника",Критерии быстрого удаления,За что удаляют учебники?;По каким причинам могут удалить целый учебник?
Почему не работает перенаправление?,"Критерии удаления для перенаправлений
П1. Перенаправление на несуществующую страницу
П2. Перенаправление между пространствами имён
П3. Перенаправление с ошибкой в названии
П4. Название не в именительном падеже
П5. Семантически некорректное перенаправление
П6. Перенаправление на страницу обсуждения",Критерии быстрого удаления,Из-за чего удают перенаправления?;Какие перенаправления считаются некорректными?
Почему исчез файл?,"Критерии удаления для файлов
Ф1. Точная или ухудшенная копия
Ф2. Повреждённый или пустой файл
Ф3. Неясный лицензионный статус
Ф4. Неиспользуемый несвободный файл
Ф5. Несоответствующий КДИ несвободный файл
Ф6. Неоправданно используемый несвободный файл
Ф7. Заменяемый несвободный файл
Ф8. Файл, доступный на Викискладе",Критерии быстрого удаления,По каким причинам удаляют файлы?;За что могут удалить загруженный файл?
Какие правила этикета в Викиучебнике?,"1. Уважительно относиться к мнению других участников
2. Критиковать только с аргументами
3. Не создавать оскорбительные ссылки
4. Всегда подписываться на страницах обсуждений",Этикет,Как следует вести себя в Викиучебнике?;Какие нормы поведения установлены?
"Что значит ""предполагайте добрые намерения""?","Это основной принцип Викиучебника: считать, что участники вносят правки из добрых намерений. Если участник ошибся, просто исправьте ошибку и укажите причину в описании изменений.",Этикет,Как понимать принцип добрых намерений?;Что такое презумпция добросовестности в Викиучебнике?
"Когда применяются административные меры, несмотря на принцип добрых намерений?",Когда действия участника носят явно деструктивный характер и предупреждения на его личной странице не привели к результату.,Этикет,В каких случаях блокируют даже при принципе добрых намерений?;Когда презумпция добросовестности не работает?
Как следует относиться к новичкам в Викиучебнике?,"Уважительно: помогать, не критиковать, не оскорблять, объяснять принципы работы. Нарушения новичков не следует пресекать блокировками без предупреждений.",Этикет,Как работать с новыми участниками?;Какое отношение к новичкам принято?
Как подписываться в тексте учебника?,В тексте учебника подписываться не нужно — авторы правок видны в истории изменений. Подписываться нужно только на страницах обсуждений.,Этикет,Нужно ли ставить подпись в статье?;Где нужно подписываться в Викиучебнике?
Когда можно блокировать новичка за нарушения?,"Только при систематических нарушениях после неоднократных предупреждений. Сначала нужно объяснить, что сделано не так.",Этикет,В каких случаях блокируют новичков?;Можно ли сразу заблокировать нового участника за ошибку?
